"outcome","income_group","year","rate","stderr","lb","ub"
"noinsurance","<100% FPL",2019,0.11729984686732,0.00736729621937936,0.103661301908175,0.132229777632042
"noinsurance","<100% FPL",2020,0.11321084612982,0.00956725961103335,0.0954866528131959,0.133012583262264
"noinsurance","<100% FPL",2021,0.102479731971106,0.00764689647163911,0.0882595417528859,0.118235157080782
"noinsurance","<100% FPL",2022,0.0974941661460693,0.00712301492718243,0.0840695043851898,0.111867682668035
"noinsurance","<100% FPL",2023,0.0746392275312986,0.00551098007226912,0.0645183654552003,0.085978291279323
"noinsurance","<100% FPL",2024,0.082054373380966,0.00599276629584955,0.0710081896707325,0.0945453656744793
"noinsurance","100–199% FPL",2019,0.123313343801973,0.00576318015294866,0.112294311939688,0.135016981704678
"noinsurance","100–199% FPL",2020,0.119313390398024,0.00797840107139263,0.104384372700148,0.135782862024589
"noinsurance","100–199% FPL",2021,0.102342856697412,0.00507631605305305,0.0926403418774518,0.112504070924982
"noinsurance","100–199% FPL",2022,0.0959536789821573,0.00546059655904283,0.0856903852911587,0.10713795784425
"noinsurance","100–199% FPL",2023,0.0787077936557733,0.00455778756691744,0.0701389097656888,0.0879206715842406
"noinsurance","100–199% FPL",2024,0.0882849475413163,0.00490919307603221,0.0788862773047134,0.0982321047437825
"noinsurance","200–299% FPL",2019,0.0950957013653394,0.00515129870264517,0.0853400048243397,0.10555516753034
"noinsurance","200–299% FPL",2020,0.0904372085409717,0.00607279930223675,0.0790168001483874,0.102852927552249
"noinsurance","200–299% FPL",2021,0.0839765925614724,0.00486744151226654,0.0746296287428122,0.0937422259215431
"noinsurance","200–299% FPL",2022,0.0817310061151295,0.0047244537336009,0.0728496642453703,0.0915162269601663
"noinsurance","200–299% FPL",2023,0.0640668169519365,0.00390119081303816,0.0567027619046868,0.0719502969601737
"noinsurance","200–299% FPL",2024,0.0744069597160574,0.00457024503594688,0.0658314799885044,0.083584048989735
"noinsurance","300–399% FPL",2019,0.0574938700131263,0.00457594467334029,0.0490553202355213,0.0668505608897517
"noinsurance","300–399% FPL",2020,0.0623303776315214,0.00577352529090455,0.0517899925851508,0.0741001191994909
"noinsurance","300–399% FPL",2021,0.0516025435985902,0.00434765773377084,0.0434977545581798,0.0605212225450935
"noinsurance","300–399% FPL",2022,0.0604743204919016,0.00468737276483632,0.051926125311431,0.0701565172220029
"noinsurance","300–399% FPL",2023,0.0510766312233005,0.00426190556279379,0.0432988782636782,0.0598807545542377
"noinsurance","300–399% FPL",2024,0.0509973526588564,0.00384298932757481,0.0437444152146957,0.0589339991248313
"noinsurance","400-499% FPL",2019,0.0357128751378433,0.00356818876310666,0.029308884464541,0.0431286402523704
"noinsurance","400-499% FPL",2020,0.0474895293152817,0.00525610215529017,0.0379532171441151,0.0585929358919226
"noinsurance","400-499% FPL",2021,0.038541420774553,0.00389065613845666,0.0315073931767269,0.0467027939038776
"noinsurance","400-499% FPL",2022,0.0354596283928337,0.00383820463944612,0.0285731775005546,0.043571139952619
"noinsurance","400-499% FPL",2023,0.033901385890761,0.00381493337927959,0.0270839739535103,0.0421602142272973
"noinsurance","400-499% FPL",2024,0.0324437308134014,0.00338683853500058,0.0263263546709772,0.0395906686978908
"noinsurance","500%+ FPL",2019,0.0251065078095859,0.00207799966191707,0.0212621463219281,0.0293609315064279
"noinsurance","500%+ FPL",2020,0.0243377972058089,0.0024063070880414,0.019964081166457,0.0293517296684938
"noinsurance","500%+ FPL",2021,0.0216602361324009,0.00182717160335226,0.0183075268508718,0.0254549229754307
"noinsurance","500%+ FPL",2022,0.022535459000691,0.00190722087052459,0.0189934013819731,0.0264571221903652
"noinsurance","500%+ FPL",2023,0.0211581437578008,0.00167697259040299,0.018072244133765,0.0246323295091866
"noinsurance","500%+ FPL",2024,0.0209293178654308,0.00178822722404796,0.0176474933516284,0.0246661984853716
"badcarecost","<100% FPL",2019,0.160540650165783,0.00854536803477319,0.144246162419426,0.177915052494252
"badcarecost","<100% FPL",2020,0.126227867065122,0.010532018388028,0.106796033436017,0.148049226681489
"badcarecost","<100% FPL",2021,0.116885869149262,0.00781043887869167,0.102505793589035,0.133104776111063
"badcarecost","<100% FPL",2022,0.108852421264353,0.00719736881233743,0.0955892972895969,0.123758349651353
"badcarecost","<100% FPL",2023,0.118303108018938,0.00734053205827244,0.104492281335616,0.133377105479694
"badcarecost","<100% FPL",2024,0.121564360329006,0.00797627648915457,0.106643143885365,0.13796262691693
"badcarecost","100–199% FPL",2019,0.157304324211734,0.00663356592704268,0.144781317099411,0.170899265152912
"badcarecost","100–199% FPL",2020,0.136359538314186,0.00728945286078468,0.122493427023443,0.151078167832502
"badcarecost","100–199% FPL",2021,0.107250240249995,0.00510704856835108,0.0976072985657176,0.117345153531868
"badcarecost","100–199% FPL",2022,0.120953349149289,0.00596750799626607,0.109590170527692,0.133178878553169
"badcarecost","100–199% FPL",2023,0.121714424996235,0.00583580094969695,0.110665894142363,0.133491266070728
"badcarecost","100–199% FPL",2024,0.123212672398012,0.00566100992155145,0.112366735164241,0.134456247867716
"badcarecost","200–299% FPL",2019,0.115809625203672,0.00567769190966984,0.10491571047429,0.127179338636898
"badcarecost","200–299% FPL",2020,0.0929631250486626,0.00643520576137653,0.0810422584884233,0.106185125705197
"badcarecost","200–299% FPL",2021,0.103081699894813,0.00511531414764614,0.0932991012453125,0.113626867112441
"badcarecost","200–299% FPL",2022,0.0957746180487948,0.00533672069327171,0.0857223651906553,0.106420647577585
"badcarecost","200–299% FPL",2023,0.0822999218864724,0.00470257072494645,0.0734231374688797,0.0918129779567322
"badcarecost","200–299% FPL",2024,0.116815306803707,0.00581878093776857,0.105750398129496,0.128432693999693
"badcarecost","300–399% FPL",2019,0.0784245883888824,0.00502487516370442,0.0689933899825338,0.0887124739182491
"badcarecost","300–399% FPL",2020,0.0860084343262246,0.00834895074026621,0.0707773131803122,0.103306094109333
"badcarecost","300–399% FPL",2021,0.0681518315098999,0.00474531996997402,0.059284191638506,0.0778765467726016
"badcarecost","300–399% FPL",2022,0.0712079749307401,0.00483882656424411,0.0621927890172024,0.0811248713477546
"badcarecost","300–399% FPL",2023,0.0678696944739422,0.00506355741070376,0.0586855553281345,0.0784326058617367
"badcarecost","300–399% FPL",2024,0.0923891323877036,0.00554178313752819,0.0820081028386662,0.103538174260101
"badcarecost","400-499% FPL",2019,0.0578035596906479,0.00533048567942148,0.0480740396568128,0.0691674293063053
"badcarecost","400-499% FPL",2020,0.0506492417823766,0.00494762031898411,0.0415767828561905,0.0609382081629693
"badcarecost","400-499% FPL",2021,0.0597894567698116,0.00474266769007693,0.0509960841371646,0.0696063804206417
"badcarecost","400-499% FPL",2022,0.0535376732590738,0.00489215504358446,0.0444411765238805,0.0635283435095756
"badcarecost","400-499% FPL",2023,0.0575972515923959,0.00518532027569198,0.0480505252796775,0.068346512570919
"badcarecost","400-499% FPL",2024,0.0797099675143753,0.00528503553377853,0.0698297361000643,0.0905772822906285
"badcarecost","500%+ FPL",2019,0.0323022131516696,0.0023078762310085,0.0280261053285379,0.0370803506571149
"badcarecost","500%+ FPL",2020,0.0336460247678785,0.00296225684713694,0.0281537090882655,0.0398244772362279
"badcarecost","500%+ FPL",2021,0.0394887235986799,0.00249704890742825,0.0348250822213595,0.0445885344210035
"badcarecost","500%+ FPL",2022,0.0348336988846984,0.00228903894953319,0.0305528901002511,0.0396010577089082
"badcarecost","500%+ FPL",2023,0.035441368756869,0.00225319624616599,0.0312488134541021,0.0401271134654725
"badcarecost","500%+ FPL",2024,0.0471124434754879,0.00280439310990767,0.0419209200931792,0.0528091904254533
"crn_barrier","<100% FPL",2019,0.209866067176086,0.0115346008888881,0.187765481907974,0.233306567579705
