"outcome","race_group","year","rate","stderr","lb","ub"
"noinsurance","Hispanic",2019,0.057496123653448,0.0216491503806598,0.0259734183322601,0.108890526843235
"noinsurance","Hispanic",2020,0.0505789139099246,0.0194923504466751,0.0222562895765657,0.0975106092305928
"noinsurance","Hispanic",2021,0.0476593409732678,0.0161478096995155,0.023453178464652,0.0871383218816462
"noinsurance","Hispanic",2022,0.0599185919049885,0.0214044447877145,0.0278483111830316,0.11085398608989
"noinsurance","Hispanic",2023,0.0263325124545091,0.011782783359194,0.010252164142052,0.0557810091788229
"noinsurance","Hispanic",2024,0.0427041850836519,0.0178658115798085,0.0175811495203886,0.0869050351350529
"noinsurance","NH White",2019,0.0337978958406173,0.00586153566839925,0.0237442523902302,0.0465248389982307
"noinsurance","NH White",2020,0.0269373592057323,0.00665567577550016,0.0161495883195325,0.042090201719817
"noinsurance","NH White",2021,0.0319608453054511,0.00689651113961279,0.020654780084973,0.0471063927018746
"noinsurance","NH White",2022,0.0217330561385478,0.00529770659553521,0.0131513527063026,0.0338560904239695
"noinsurance","NH White",2023,0.0213635945396227,0.00422409355469566,0.0142667577679064,0.0306707429293827
"noinsurance","NH White",2024,0.0230418902604176,0.0049812475393892,0.0146972691611106,0.0342335955588709
"noinsurance","NH Black",2019,0.0322728699011033,0.0172921137027897,0.0102943444616684,0.0763926793022019
"noinsurance","NH Black",2020,0.0270168756719178,0.020744202626169,0.00514536373672034,0.0815052201538339
"noinsurance","NH Black",2021,0.0238825810084756,0.0117041897117249,0.00861178442728582,0.0532229720956753
"noinsurance","NH Black",2022,0.031920047376196,0.0166872316208653,0.0103317044875096,0.0744276479296541
"noinsurance","NH Black",2023,0.0223242277362481,0.014133316852789,0.00581448942258819,0.0593349682572278
"noinsurance","NH Black",2024,0.0225674818802914,0.0127394305434579,0.00681578923613673,0.05551187246394
"noinsurance","NH Asian",2019,0.0432376103442152,0.0538015941896096,0.00280751919001813,0.194486079822896
"noinsurance","NH Asian",2020,0.062454487512742,0.0909208299476872,0.00184357620237038,0.320316735733291
"noinsurance","NH Asian",2021,0.00619319714499072,0.0107345839374317,0.000301692499944658,0.0308585138298075
"noinsurance","NH Asian",2022,0.0315855152364886,0.0289438508465887,0.00438529243060319,0.112630818690523
"noinsurance","NH Asian",2023,1.74046313607801e-09,1.29618685392991e-09,3.76708505423309e-10,5.12138918264874e-09
"noinsurance","NH Asian",2024,0.0534922761226698,0.0387125154055755,0.0110656197531336,0.158672950861907
"noinsurance","NH AIAN",2019,0.00795530272528521,0.013574247960857,0.000357353315033334,0.0409679369652847
"noinsurance","NH AIAN",2020,0.0148752768955637,0.0166745998050626,0.00161704484092321,0.0583045723686289
"noinsurance","NH AIAN",2021,0.00298847492942272,0.00253393813458457,0.000525024424491167,0.00973398756465686
"noinsurance","NH AIAN",2022,0.00349830054351193,0.00313461214049471,0.000594658022880966,0.0117251217283195
"noinsurance","NH AIAN",2023,0.00354287908693675,0.00311141196960895,0.000607455115497726,0.0115668581482012
"noinsurance","NH AIAN",2024,0.000433386948474724,0.00129811148798761,6.03877847622692e-06,0.00265903404065816
"badcarecost","Hispanic",2019,0.142946193854358,0.0339042683876758,0.0863672542027003,0.218553825352771
"badcarecost","Hispanic",2020,0.11599130064299,0.041030459850335,0.0533991341714124,0.211841562898946
"badcarecost","Hispanic",2021,0.112294242408604,0.0300432693920014,0.0638092595423272,0.18087802662249
"badcarecost","Hispanic",2022,0.10808962731586,0.0261074485978452,0.0650555902566785,0.166679733334152
"badcarecost","Hispanic",2023,0.0910389787596101,0.0272577373126425,0.0484275438411788,0.153773182158714
"badcarecost","Hispanic",2024,0.123534473185581,0.0305396743100356,0.0738885642375593,0.193404449222896
"badcarecost","NH White",2019,0.12663329933975,0.0105606709883554,0.106951126127796,0.148442840900328
"badcarecost","NH White",2020,0.0894373603231754,0.0118609578805375,0.0680699832809108,0.114889866948733
"badcarecost","NH White",2021,0.103253024406254,0.00961733996644024,0.0852777209189015,0.123345223270871
"badcarecost","NH White",2022,0.107505328839998,0.0110636339664787,0.087319187722207,0.130732847589415
"badcarecost","NH White",2023,0.0791096448433189,0.00860068448447327,0.0633196591172954,0.0969204990824764
"badcarecost","NH White",2024,0.121956206670103,0.0114423321289346,0.100836270869314,0.145519803175708
"badcarecost","NH Black",2019,0.129921165658114,0.0276435052541975,0.0832802674900347,0.190994833802623
"badcarecost","NH Black",2020,0.0919359852446482,0.032662547459516,0.0421321555279715,0.16959056417745
"badcarecost","NH Black",2021,0.093097051879862,0.0221837727508008,0.055963718284329,0.143106494436215
"badcarecost","NH Black",2022,0.101048122060952,0.0249054525013983,0.0601785432704526,0.157124678993229
"badcarecost","NH Black",2023,0.10172889369729,0.026117371113525,0.0591330614888647,0.16071929197754
"badcarecost","NH Black",2024,0.111985558670355,0.0292838631730907,0.0638781052267837,0.177783676974309
"badcarecost","NH Asian",2019,0.0608759402055052,0.0443460916884293,0.0126024504866782,0.180243824250522
"badcarecost","NH Asian",2020,0.104161968892543,0.0614540380635923,0.0265655978332136,0.262824871085578
"badcarecost","NH Asian",2021,0.0149410729867627,0.0136541334884243,0.00220284842045447,0.0507347887296338
