"year","cvd_status","q05","q25","median","q75","q95","mean","se","lower_95ci","upper_95ci"
2020,"Overall",5,6,7,8,9,7.19757010507219,0.0107529606467095,7.17649430220463,7.21864590793974
2020,"No CVD",5,6,7,8,9,7.17722794521841,0.0105390964007755,7.15657131627289,7.19788457416393
2020,"CVD",4,6,7,8,10,7.43291782887034,0.0491831572728598,7.33651884061554,7.52931681712515
2022,"Overall",5,6,7,8,9,7.11939583538499,0.0104964610118814,7.0988227718017,7.13996889896828
2022,"No CVD",5,6,7,8,9,7.09855908065653,0.0106417492432513,7.07770125213976,7.1194169091733
2022,"CVD",4,6,7,8,10,7.34470764972087,0.0453979832248436,7.25572760260018,7.43368769684156
2024,"Overall",5,6,7,8,9,7.13087560606254,0.0106159451968197,7.11006835347678,7.15168285864831
2024,"No CVD",5,6,7,8,9,7.11307311034869,0.0104591864179469,7.09257310496951,7.13357311572787
2024,"CVD",4,6,7,8,10,7.3228987598601,0.0517049195855734,7.22155711747237,7.42424040224782
