"outcome","ascvd_group","year","rate","stderr","lb","ub"
"noexercise","Overall",2020,0.462459902883692,0.00462955394769849,0.453386143881718,0.471533661885667
"noexercise","No ASCVD",2020,0.447859299457977,0.0047503329530151,0.438548817955494,0.45716978096046
"noexercise","ASCVD",2020,0.632191294743214,0.0109778575502045,0.610675089317402,0.653707500169026
"noexercise","Overall",2022,0.464906996267496,0.0045475738988431,0.455993915208729,0.473820077326263
"noexercise","No ASCVD",2022,0.447915431925045,0.0046769305865252,0.438748816417262,0.457082047432828
"noexercise","ASCVD",2022,0.648888061283178,0.0107733971310175,0.627772590915236,0.670003531651119
"noexercise","Overall",2024,0.461614168381058,0.00448622088138381,0.452821337026855,0.470406999735262
"noexercise","No ASCVD",2024,0.446615172969819,0.00468701966166874,0.437428783238117,0.455801562701521
"noexercise","ASCVD",2024,0.622747065225734,0.010668094219511,0.601837984771813,0.643656145679656
"strength","Overall",2020,0.0674525381874685,0.00222864465464477,0.0630844749300271,0.07182060144491
"strength","No ASCVD",2020,0.0672067791911867,0.00233375238398876,0.0626327085697342,0.0717808498126391
"strength","ASCVD",2020,0.0703094760334363,0.00595191297869041,0.0586439409560866,0.081975011110786
"strength","Overall",2022,0.0630493305640682,0.00177403160395069,0.059572292512889,0.0665263686152473
"strength","No ASCVD",2022,0.0638282229542768,0.00187760174446092,0.0601481911578238,0.0675082547507298
"strength","ASCVD",2022,0.0546156484971876,0.00467933056420185,0.0454443291195944,0.0637869678747807
"strength","Overall",2024,0.0671206526302543,0.00193279299063212,0.0633324479790439,0.0709088572814648
"strength","No ASCVD",2024,0.0674360078293074,0.00204414851072865,0.063429550369228,0.0714424652893867
"strength","ASCVD",2024,0.063732819287738,0.00537655845953779,0.0531949583462698,0.0742706802292062
"aerobic","Overall",2020,0.227421034594052,0.003280113935736,0.220992129414821,0.233849939773282
"aerobic","No ASCVD",2020,0.230254351393417,0.00342546298837384,0.22354056730583,0.236968135481005
"aerobic","ASCVD",2020,0.194483847690649,0.00882126024223884,0.177194495317606,0.211773200063693
"aerobic","Overall",2022,0.228881571715688,0.00340831667273702,0.222201393789216,0.23556174964216
"aerobic","No ASCVD",2022,0.232479420277916,0.00359969370382622,0.225424150263041,0.239534690292791
"aerobic","ASCVD",2022,0.189924828422203,0.00840021666675998,0.17346070629302,0.206388950551386
"aerobic","Overall",2024,0.217807633654419,0.00321260208730622,0.211511049266641,0.224104218042197
"aerobic","No ASCVD",2024,0.219621539473073,0.00339373774268294,0.212969935724441,0.226273143221706
"aerobic","ASCVD",2024,0.198321001973464,0.00855959544309454,0.181544503182766,0.215097500764163
"bothexercise","Overall",2020,0.24266652433479,0.0038783728989502,0.235065053134231,0.250267995535348
"bothexercise","No ASCVD",2020,0.25467956995742,0.00406578781432297,0.246710772272565,0.262648367642274
"bothexercise","ASCVD",2020,0.103015381532702,0.00653210467318087,0.0902126916300213,0.115818071435382
"bothexercise","Overall",2022,0.243162101452747,0.00391353472041243,0.235491714348492,0.250832488557002
"bothexercise","No ASCVD",2022,0.255776924842762,0.0041273881813403,0.247687392657119,0.263866457028405
"bothexercise","ASCVD",2022,0.106571461797432,0.00670122458418482,0.093437302960115,0.119705620634748
"bothexercise","Overall",2024,0.253457545334268,0.00356638546688718,0.246467558264182,0.260447532404354
"bothexercise","No ASCVD",2024,0.266327279727802,0.00375951359708075,0.258958768478135,0.273695790977469
"bothexercise","ASCVD",2024,0.115199113513062,0.00649632664931484,0.102466547248598,0.127931679777527
