"outcome","income_group","year","rate","stderr","lb","ub"
"strength","400-499% FPL",2024,0.0673112301971158,0.0051541961891714,0.0578047077813555,0.0779798371484823
"strength","500%+ FPL",2020,0.0698277144876457,0.00331161783815294,0.0635363179137515,0.0762991335189584
"strength","500%+ FPL",2022,0.0647270311682822,0.00304337462427333,0.0589137454639557,0.0708726090517351
"strength","500%+ FPL",2024,0.0715225526352931,0.00319439977070567,0.0655047360718011,0.0779857429900435
"aerobic","<100% FPL",2020,0.193220207030299,0.0106159137584149,0.172999025214908,0.214856053011609
"aerobic","<100% FPL",2022,0.202281721363598,0.0100558077639125,0.182643260283355,0.222534764862587
"aerobic","<100% FPL",2024,0.20803701984819,0.0102424738319421,0.188541437748495,0.228706631782546
"aerobic","100–199% FPL",2020,0.209919787247683,0.00791060745339103,0.194683185805931,0.225497502491227
"aerobic","100–199% FPL",2022,0.225838946670741,0.00758198234101896,0.211281965702443,0.241095569473806
"aerobic","100–199% FPL",2024,0.207602114438287,0.00718134541032767,0.193819200747543,0.221867566702053
"aerobic","200–299% FPL",2020,0.218117759863655,0.00754752262153262,0.20379980628165,0.233315746987712
"aerobic","200–299% FPL",2022,0.221041277793139,0.00807290179024819,0.205571933164764,0.237439016929909
"aerobic","200–299% FPL",2024,0.210927895720108,0.00738877027528819,0.196593637794153,0.225788055586735
"aerobic","300–399% FPL",2020,0.23385839078254,0.00830522098441517,0.217936111537868,0.250562177668949
"aerobic","300–399% FPL",2022,0.225768473868943,0.00843371614946413,0.209667071845938,0.242668764970251
"aerobic","300–399% FPL",2024,0.226651761040955,0.0081875226691818,0.210773680626432,0.242690011307269
"aerobic","400-499% FPL",2020,0.236621275448821,0.00921454294277076,0.219188974719086,0.25495365847408
"aerobic","400-499% FPL",2022,0.239921884440673,0.00839140502909915,0.22401521189976,0.256792809467974
"aerobic","400-499% FPL",2024,0.232062760976752,0.009093710083378,0.21445599314666,0.250207731183595
"aerobic","500%+ FPL",2020,0.255086534049988,0.00561638047267941,0.244039745683991,0.266208643174146
"aerobic","500%+ FPL",2022,0.247828554052431,0.00583991609825148,0.236500935616676,0.259373599319942
"aerobic","500%+ FPL",2024,0.230714953561123,0.00530544028575943,0.220594532047919,0.241354405437175
"bothexercise","<100% FPL",2020,0.0908152189239479,0.00695998213781588,0.0778612592654397,0.10519006024317
"bothexercise","<100% FPL",2022,0.0969130263516036,0.00710084130618632,0.0838319759976543,0.111476453854239
"bothexercise","<100% FPL",2024,0.102536565229576,0.00780009174716861,0.088110751628388,0.118829685340769
"bothexercise","100–199% FPL",2020,0.118836727250655,0.00617348829955507,0.107036701774517,0.131167652877604
"bothexercise","100–199% FPL",2022,0.117459450881234,0.00535637097280352,0.107203502472342,0.128056786622192
"bothexercise","100–199% FPL",2024,0.127668079301795,0.00589988027421583,0.116352220284391,0.139458498708326
"bothexercise","200–299% FPL",2020,0.15321921651828,0.00664032470123488,0.140534784893328,0.166511114038296
"bothexercise","200–299% FPL",2022,0.150106387635531,0.00673702827946378,0.137304614636088,0.163856333526506
"bothexercise","200–299% FPL",2024,0.161949933176667,0.00621307209922378,0.149840591502855,0.174380041593834
"bothexercise","300–399% FPL",2020,0.193504582932635,0.00766522453928027,0.178849428197769,0.208593163342044
"bothexercise","300–399% FPL",2022,0.196842088921664,0.00809566877780098,0.181228699161943,0.213034787741421
"bothexercise","300–399% FPL",2024,0.202763051426709,0.00733612791072852,0.188689409182214,0.21750400354687
"bothexercise","400-499% FPL",2020,0.228410637899683,0.00913527323329819,0.21090410570383,0.246620897573529
"bothexercise","400-499% FPL",2022,0.21436034862501,0.00867884068494197,0.197701988836238,0.232041017737124
"bothexercise","400-499% FPL",2024,0.239981513760069,0.00879726656157567,0.223093533853368,0.257657206258262
"bothexercise","500%+ FPL",2020,0.29975984181217,0.00597982153653928,0.288091915907471,0.311568232137081
"bothexercise","500%+ FPL",2022,0.299379879369311,0.00627171885309686,0.287056302723086,0.311834932355345
"bothexercise","500%+ FPL",2024,0.312178938707596,0.00602925595495643,0.30046111555894,0.324156063250151
