"outcome","race_group","year","rate","stderr","lb","ub"
"strength","NH Black",2024,0.0826964836879815,0.00729432689376318,0.0692225773701346,0.0978074597339566
"strength","NH Asian",2020,0.0667384479556689,0.00941495323017518,0.0500988355895863,0.0869692386500568
"strength","NH Asian",2022,0.0519708823193903,0.00637913550216023,0.0405903326107227,0.0655657479977443
"strength","NH Asian",2024,0.0635095296144171,0.00759618320332144,0.0497087446075471,0.0798570137336815
"strength","NH AIAN",2020,0.0557252647831564,0.0149385272878441,0.0316219104900195,0.089314747997255
"strength","NH AIAN",2022,0.092076961645631,0.0202886118820311,0.0576712601886871,0.13726990454803
"strength","NH AIAN",2024,0.0669127054727111,0.0167246658648819,0.0392072392193638,0.10471572034582
"strength","NH Other",2020,0.0904086694295056,0.0221913636989531,0.0534908221757379,0.140155440463439
"strength","NH Other",2022,0.0492433029407858,0.015206753229364,0.0254969340291532,0.0843049372369416
"strength","NH Other",2024,0.121512484565174,0.0255696213416494,0.077773554744225,0.17782831663605
"aerobic","Hispanic",2020,0.219193671133232,0.00966386667192528,0.20076886964917,0.238612511389308
"aerobic","Hispanic",2022,0.204639644559198,0.00848526916270197,0.188067576247301,0.221416644966826
"aerobic","Hispanic",2024,0.208716972434519,0.00816370838141535,0.192829895607413,0.225080245160524
"aerobic","NH White",2020,0.240501490379064,0.00400071713799479,0.232794454993,0.248532287932761
"aerobic","NH White",2022,0.245630472841589,0.00423355880335952,0.237482155457582,0.253969435917708
"aerobic","NH White",2024,0.232579932596314,0.00398970597065916,0.224922634147383,0.240326817837951
"aerobic","NH Black",2020,0.189585439389104,0.0103824314899604,0.170028204213108,0.210702360283098
"aerobic","NH Black",2022,0.187970452776895,0.010202174543644,0.168624606112942,0.208424307017153
"aerobic","NH Black",2024,0.176648797035067,0.0102280596047504,0.157287893306612,0.197412348094188
"aerobic","NH Asian",2020,0.259839000851962,0.0164753859063414,0.228651317653649,0.293315723126375
"aerobic","NH Asian",2022,0.255117723998104,0.0150049719797599,0.226284467028355,0.284984447175353
"aerobic","NH Asian",2024,0.231048647447024,0.0142089432774069,0.203528365488828,0.259584078762212
"aerobic","NH AIAN",2020,0.187370376098447,0.0264750000502861,0.139667548481882,0.242069573284807
"aerobic","NH AIAN",2022,0.238544362706172,0.0250063272649941,0.192049069480311,0.289834756459185
"aerobic","NH AIAN",2024,0.223926563049903,0.0274516350462088,0.17310143785602,0.281756303707273
"aerobic","NH Other",2020,0.182677617647211,0.0317474988817169,0.126885876098737,0.25057184316873
"aerobic","NH Other",2022,0.174829021050658,0.0307570483736765,0.120997853335463,0.241140069892016
"aerobic","NH Other",2024,0.184990643450549,0.0260658835711226,0.137740721566167,0.2396877150728
"bothexercise","Hispanic",2020,0.157622780849348,0.00826725242440177,0.142270868592945,0.174313870015618
"bothexercise","Hispanic",2022,0.154496968733172,0.00745510699642289,0.140412984197821,0.169359329992595
