"outcome","race_group","year","rate","stderr","lb","ub"
"telehealth","Hispanic",2020,0.29256960682625,0.0196056465369537,0.255663163790857,0.33222330162908
"telehealth","Hispanic",2021,0.350293078109615,0.00923600639271192,0.332508798392327,0.368449606175927
"telehealth","Hispanic",2022,0.286149641875414,0.00947991434781818,0.267750571398083,0.305109336708012
"telehealth","Hispanic",2023,0.22971131403013,0.00778851599757041,0.21475018293984,0.245107864933351
"telehealth","Hispanic",2024,0.214026441974515,0.00794484511141862,0.198604084608577,0.229637685250671
"telehealth","NH White",2020,0.327751814662603,0.00873594381772416,0.310774844781776,0.344643553596069
"telehealth","NH White",2021,0.397980769481638,0.004974323071571,0.388180763336988,0.407581203171787
"telehealth","NH White",2022,0.320610719402366,0.00516366414361524,0.310617196198109,0.330763865173889
"telehealth","NH White",2023,0.286139196608425,0.00467480738863806,0.277052205167941,0.295442360562004
"telehealth","NH White",2024,0.274423680353036,0.00423380217294468,0.266246448205594,0.28275622378173
"telehealth","NH Black",2020,0.348217015644027,0.0195586729693898,0.310719882941355,0.387103672738367
"telehealth","NH Black",2021,0.36676322428052,0.0119503714459158,0.343500880321467,0.390421458879666
"telehealth","NH Black",2022,0.305311892001753,0.0112206724672256,0.283392066388001,0.327420379917842
"telehealth","NH Black",2023,0.29284743033967,0.011523795988899,0.270868139523568,0.315277071585356
"telehealth","NH Black",2024,0.254380646589821,0.0112703314652281,0.23319811333401,0.277122461269935
"telehealth","NH Asian",2020,0.272636281612098,0.0276845828243137,0.222310740083504,0.330070123422049
"telehealth","NH Asian",2021,0.323395404267364,0.0145445441606079,0.295234462618534,0.352481606393293
"telehealth","NH Asian",2022,0.287564214124364,0.0151760321924287,0.258394572188469,0.317608285595623
"telehealth","NH Asian",2023,0.24366311757409,0.0122572747418785,0.220280774084409,0.268044779329375
"telehealth","NH Asian",2024,0.22948815565172,0.0129247922516883,0.204312136902895,0.255273394059161
"telehealth","NH AIAN",2020,0.338810471125753,0.0518174606882469,0.24319182329158,0.446779313300254
"telehealth","NH AIAN",2021,0.452747706954527,0.0304651550886988,0.395004932243325,0.513017691047608
"telehealth","NH AIAN",2022,0.325952328570471,0.0274764334554437,0.27452630539562,0.381923922260286
"telehealth","NH AIAN",2023,0.321763996267138,0.0341999092104445,0.257022498244011,0.391995526889693
"telehealth","NH AIAN",2024,0.261868617901067,0.0273587614035868,0.209988269895021,0.318516163927882
"telehealth","NH Other",2020,0.376630859736229,0.0604632877685424,0.264251106244234,0.501764439285769
"telehealth","NH Other",2021,0.409491694092167,0.034503324946476,0.342547564474718,0.478022285972736
"telehealth","NH Other",2022,0.362578445110385,0.0355577288925897,0.295880297224103,0.435348078860996
"telehealth","NH Other",2023,0.392236983660155,0.0381953751401372,0.319446300792815,0.468086103949817
"telehealth","NH Other",2024,0.258631626033314,0.0300969063879021,0.203156911314844,0.319558825336927
