"outcome","race_group","year","rate","stderr","lb","ub"
"noinsurance","NH Other",2019,0.0854491892042281,0.020575479215564,0.0510989276593812,0.132302298320074
"noinsurance","NH Other",2020,0.0630249578432619,0.020183826560234,0.0324755315720499,0.109900787252446
"noinsurance","NH Other",2021,0.0681954266099069,0.0162020995373891,0.041730042775758,0.105230425753823
"noinsurance","NH Other",2022,0.0470163999108234,0.0137389674042875,0.0256681456430485,0.0790299102205259
"noinsurance","NH Other",2023,0.0558349196507833,0.0142140770981898,0.0328987466617974,0.0878418031930653
"noinsurance","NH Other",2024,0.052746422934254,0.0117939214740344,0.0332678309982892,0.0791486617021638
"badcarecost","Hispanic",2019,0.139357895395006,0.00713007358426876,0.125713651448389,0.153945765042289
"badcarecost","Hispanic",2020,0.127079473727634,0.00880855732495103,0.110580486428113,0.14505034617868
"badcarecost","Hispanic",2021,0.0982053118991227,0.00573657579668729,0.0873930432314975,0.110174174837029
"badcarecost","Hispanic",2022,0.119750097855081,0.00634312958548556,0.107570331056448,0.132393782053388
"badcarecost","Hispanic",2023,0.105907057323342,0.0063156704255769,0.0937738075805288,0.118375718425811
"badcarecost","Hispanic",2024,0.112032577298615,0.00563629052003127,0.101307366591712,0.123589608697013
"badcarecost","NH White",2019,0.0848517200815301,0.00263057318255042,0.0797582675177481,0.0900768998190244
"badcarecost","NH White",2020,0.0735421799954033,0.00297052656600755,0.0679382763297837,0.0794111577886486
"badcarecost","NH White",2021,0.074535880355031,0.00251427649701568,0.0696505462263273,0.079482893789749
"badcarecost","NH White",2022,0.0660168833101899,0.00238366958716725,0.0614696502558335,0.0707726902229122
"badcarecost","NH White",2023,0.0671918405411372,0.00229568354216826,0.0628145255690553,0.0718227440867151
"badcarecost","NH White",2024,0.0895851564239054,0.00259422419872918,0.0846763499988611,0.0947610752880032
"badcarecost","NH Black",2019,0.112502359388467,0.00757401908851992,0.098356290300489,0.12811580134158
"badcarecost","NH Black",2020,0.082009667696991,0.00656039470784429,0.0698680219155902,0.0953825789482828
"badcarecost","NH Black",2021,0.0812508637589156,0.00577454556977823,0.070468975943885,0.093096172107362
"badcarecost","NH Black",2022,0.0780771036797901,0.00612327128999272,0.0666687377075972,0.0909365968439906
"badcarecost","NH Black",2023,0.0874675658817595,0.00612041490608656,0.0758082040402536,0.100167865583839
"badcarecost","NH Black",2024,0.0929641677024854,0.00650820387089583,0.0807722623696046,0.106467233090366
"badcarecost","NH Asian",2019,0.0497514376831154,0.00804944531392397,0.0359660150856755,0.0674349526545504
"badcarecost","NH Asian",2020,0.0469987016835067,0.00894929338861138,0.0317674883887524,0.0667163957164079
"badcarecost","NH Asian",2021,0.0370814303487408,0.00515981142314612,0.0279253069185741,0.0480241043653629
"badcarecost","NH Asian",2022,0.0524934846800285,0.00717524960948056,0.039887213872126,0.0678343796128082
"badcarecost","NH Asian",2023,0.0455954795692645,0.0060296044797007,0.0348627425969662,0.0584764778846987
"badcarecost","NH Asian",2024,0.0485255988718195,0.00605150966196857,0.0374874880560766,0.0614634010410905
"badcarecost","NH AIAN",2019,0.121514366896862,0.0198507452562066,0.086521795677168,0.163866699772811
"badcarecost","NH AIAN",2020,0.111859356680347,0.0226001902771422,0.0735036509071011,0.161712008865746
"badcarecost","NH AIAN",2021,0.120469807601067,0.0174374707899444,0.0892224006388056,0.157273910996564
"badcarecost","NH AIAN",2022,0.0808203198260263,0.0174761668783346,0.0516123411431041,0.119618371108504
"badcarecost","NH AIAN",2023,0.139092732902779,0.0240322177217735,0.0978930325933979,0.19109017644176
"badcarecost","NH AIAN",2024,0.114079685957881,0.0184704576109229,0.0821627531532835,0.154349406484172
"badcarecost","NH Other",2019,0.124828902031472,0.0252268902782322,0.0820701903697711,0.181038826408374
"badcarecost","NH Other",2020,0.109339811011564,0.0356506551357124,0.0536470320020058,0.19089756052574
"badcarecost","NH Other",2021,0.121875765704291,0.0237029934570242,0.0812176971986843,0.173587050789126
"badcarecost","NH Other",2022,0.0701893252666063,0.0185123481445348,0.04016000735633,0.112478041746336
"badcarecost","NH Other",2023,0.089138688573161,0.0175844667197974,0.0590148087510281,0.127622453434969
"badcarecost","NH Other",2024,0.116770113586253,0.0173778280745502,0.0859759895801209,0.153582367507314
"crn_barrier","Hispanic",2019,0.16794575256562,0.00977775862339825,0.149379632329855,0.187673948289782
"crn_barrier","Hispanic",2020,0.176292336824131,0.0133677957419413,0.151071418554571,0.203996904850209
"crn_barrier","Hispanic",2021,0.123730477838327,0.00866667904057026,0.1072187206102,0.141258033808859
"crn_barrier","Hispanic",2022,0.145778320897108,0.0101111684745609,0.126663763754323,0.166395287810699
"crn_barrier","Hispanic",2023,0.134998873088881,0.0075653475339288,0.120570141756702,0.150032911741447
"crn_barrier","Hispanic",2024,0.135999765612705,0.00825330018560745,0.120694521595438,0.153074277087159
"crn_barrier","NH White",2019,0.115822249732151,0.00346424654828193,0.109165241249288,0.122634101357535
"crn_barrier","NH White",2020,0.0958834790609254,0.00405118793909378,0.0881266393178285,0.103883657745915
"crn_barrier","NH White",2021,0.0833607826742305,0.00291167791725862,0.0778034852849868,0.0892572793485561
"crn_barrier","NH White",2022,0.0865153393612565,0.00312928482466015,0.0805424238980371,0.0927190018869136
"crn_barrier","NH White",2023,0.0914282401042229,0.0030422925584352,0.0855446115076402,0.0975305215970969
"crn_barrier","NH White",2024,0.102626407077984,0.00302310998717703,0.0968911084080397,0.108774310453271
"crn_barrier","NH Black",2019,0.16707192383285,0.0101960840940557,0.147850966166237,0.187872154966908
"crn_barrier","NH Black",2020,0.141414572821219,0.0103124945201181,0.122287597873578,0.162429983429282
"crn_barrier","NH Black",2021,0.124728954121403,0.00910790926759387,0.107886776905447,0.143467382253044
"crn_barrier","NH Black",2022,0.113749587541051,0.00817153378673821,0.0987237212872302,0.130749798520279
"crn_barrier","NH Black",2023,0.145378702964328,0.00954549432066086,0.127803126406786,0.165461785460484
"crn_barrier","NH Black",2024,0.135562994489663,0.00880831101768775,0.119057600654508,0.153452289627705
"crn_barrier","NH Asian",2019,0.0772193444891443,0.0116421010568546,0.0566372275143186,0.102600632181145
"crn_barrier","NH Asian",2020,0.079210362977257,0.0149718207057408,0.0538273100007559,0.111748589745895
"crn_barrier","NH Asian",2021,0.0789250343024014,0.0111322607667636,0.0589630618464872,0.102190792992257
"crn_barrier","NH Asian",2022,0.0656296848441047,0.00902637307616044,0.0496268478428907,0.0846182720034748
"crn_barrier","NH Asian",2023,0.0771332295790336,0.0101625669906075,0.0590189401404626,0.0989614223655097
"crn_barrier","NH Asian",2024,0.0689991773573096,0.0101404641153553,0.0508612811892207,0.0910650749443786
"crn_barrier","NH AIAN",2019,0.173040416512952,0.0276301201425097,0.123623553149781,0.230599672762292
"crn_barrier","NH AIAN",2020,0.166127470435263,0.0329031595574005,0.108706322375632,0.237415761457828
"crn_barrier","NH AIAN",2021,0.115802206253259,0.0221043034171908,0.0775361434366277,0.163698562100213
"crn_barrier","NH AIAN",2022,0.136767639217067,0.0280715695539659,0.089079205192733,0.198270763568701
"crn_barrier","NH AIAN",2023,0.190669079269077,0.027346615146906,0.141759521887584,0.247653146367111
"crn_barrier","NH AIAN",2024,0.129158131296002,0.0243671703790734,0.0869438238369297,0.182233042115888
"crn_barrier","NH Other",2019,0.133288560475561,0.0279941852852301,0.0864034251029826,0.195117130988659
"crn_barrier","NH Other",2020,0.107308145879971,0.0392874037356667,0.0477349106295101,0.199372214565654
"crn_barrier","NH Other",2021,0.099142185518718,0.0210420841145815,0.0637713886046413,0.145771053652126
"crn_barrier","NH Other",2022,0.0917115364042582,0.0235341790193115,0.0535481271955743,0.144540296743396
"crn_barrier","NH Other",2023,0.0815433062532646,0.019917845515329,0.0489470784479575,0.125612196168434
"crn_barrier","NH Other",2024,0.153949935943565,0.023291637586199,0.112064438334522,0.203607956077977
"noplace","Hispanic",2019,0.104028184681379,0.00567103430977683,0.0933552920247534,0.115349801503352
"noplace","Hispanic",2020,0.0948642781746203,0.00724055001016882,0.0813802940207526,0.109849471690374
"noplace","Hispanic",2021,0.0959611415245864,0.00522701283575054,0.0860628024483443,0.106497763058967
"noplace","Hispanic",2022,0.109270268562316,0.00619278100211154,0.0977321842607039,0.121909627353706
"noplace","Hispanic",2023,0.100851768467149,0.00599526998422482,0.0896173836659501,0.112963132023789
"noplace","Hispanic",2024,0.0998513537984689,0.00553549923641008,0.0896192413691069,0.111230120201858
"noplace","NH White",2019,0.0640099702592025,0.00218597373485048,0.0597155450770115,0.0684034885300543
"noplace","NH White",2020,0.0599116081765583,0.00277142435555491,0.0546605076473683,0.0654522701751177
"noplace","NH White",2021,0.0638548084733565,0.00223902511352572,0.0596099000265809,0.0682830950388801
"noplace","NH White",2022,0.0645487229306989,0.00237216590138115,0.0599600800916769,0.0693690812607494
"noplace","NH White",2023,0.0625696779001327,0.0023928124326153,0.0579686135350288,0.0674083479099555
"noplace","NH White",2024,0.0560241613441336,0.00212420615484328,0.05190140956509,0.0602448146141583
"noplace","NH Black",2019,0.0623821544967099,0.00523407860474199,0.0527313182187954,0.0733235234654116
"noplace","NH Black",2020,0.0656288674466814,0.00694451349125868,0.0529675363839981,0.0802340712675105
"noplace","NH Black",2021,0.0638011476972237,0.00572267594971586,0.0533952088551624,0.0754958569778186
"noplace","NH Black",2022,0.0622024033336312,0.00556088984232266,0.0518351357616587,0.0737774544833897
"noplace","NH Black",2023,0.0645894627229602,0.00558126917865439,0.0542248100545421,0.0759589048622463
"noplace","NH Black",2024,0.0546425550191981,0.00533123389532497,0.0449348017998355,0.0656886836767712
"noplace","NH Asian",2019,0.0697715187001074,0.00774620810118885,0.0559912207915373,0.0862581783400503
"noplace","NH Asian",2020,0.0615409585604537,0.00830030117537175,0.0468168941417206,0.0794322982740698
"noplace","NH Asian",2021,0.0802421923141187,0.00736324100274835,0.0667172297666322,0.0956372474573691
