"outcome","income_group","year","rate","stderr","lb","ub"
"telehealth","<100% FPL",2020,0.308803534323998,0.0209525978633246,0.269348153458949,0.35192114090656
"telehealth","<100% FPL",2021,0.363114125503845,0.011656567421448,0.340308177576155,0.385765208834402
"telehealth","<100% FPL",2022,0.30344499154658,0.0117598906495212,0.280554262300209,0.326783921248679
"telehealth","<100% FPL",2023,0.267102357537342,0.0109219378568747,0.245785746850015,0.288729183129154
"telehealth","<100% FPL",2024,0.22206351787555,0.00975196532323337,0.203254361367468,0.241423480458752
"telehealth","100–199% FPL",2020,0.309256705385893,0.0165538182705393,0.277867988125574,0.34219170933938
"telehealth","100–199% FPL",2021,0.340887198651368,0.00866626146231778,0.324078327506664,0.357865436501337
"telehealth","100–199% FPL",2022,0.275887597892058,0.00839720537491427,0.25971749284639,0.29241526168201
"telehealth","100–199% FPL",2023,0.237176145497595,0.00776235909622622,0.222068256820584,0.252499064147406
"telehealth","100–199% FPL",2024,0.21784975147521,0.00759494160216372,0.203433439622725,0.233118794155669
"telehealth","200–299% FPL",2020,0.297794996909755,0.0152148014143049,0.268810837715068,0.328243432019836
"telehealth","200–299% FPL",2021,0.356100682115531,0.00901189819397898,0.338530144480422,0.374155078865496
"telehealth","200–299% FPL",2022,0.287457501291593,0.00902482858503093,0.27013713325299,0.305595672719752
"telehealth","200–299% FPL",2023,0.249415156992292,0.0077714232997054,0.23431260092135,0.264827110533078
"telehealth","200–299% FPL",2024,0.227046582409143,0.00740916464457841,0.212542418966648,0.241562454493482
"telehealth","300–399% FPL",2020,0.321601776252294,0.0199908677791377,0.283537082020073,0.36203800326971
"telehealth","300–399% FPL",2021,0.381539591118089,0.0103101230897829,0.361684783319592,0.401927502544199
"telehealth","300–399% FPL",2022,0.284788802581104,0.00891630852856014,0.267162713755802,0.302482116969741
"telehealth","300–399% FPL",2023,0.247619661397557,0.00878941462182444,0.230735037121572,0.264798507492647
"telehealth","300–399% FPL",2024,0.257622663555469,0.00853210954933413,0.241340341112503,0.274648691449859
"telehealth","400-499% FPL",2020,0.315427484868833,0.0192959422889077,0.277762578830953,0.354230200923291
"telehealth","400-499% FPL",2021,0.375913425114728,0.0106183764916965,0.355154293385842,0.396602179763634
"telehealth","400-499% FPL",2022,0.306891106042741,0.0106599241899728,0.286151038956517,0.327623017642107
"telehealth","400-499% FPL",2023,0.258368367617507,0.00925118382074079,0.240551517829091,0.276845900489268
"telehealth","400-499% FPL",2024,0.242536385889881,0.00836174936655816,0.226647171172589,0.25910328127301
"telehealth","500%+ FPL",2020,0.329681799098316,0.0131289321182656,0.304295703351101,0.355867528000673
"telehealth","500%+ FPL",2021,0.40855652122579,0.00652778816571767,0.395811726233094,0.421373491706792
"telehealth","500%+ FPL",2022,0.337980303924769,0.00663203180756907,0.325163694731033,0.351143221802576
"telehealth","500%+ FPL",2023,0.314191213963834,0.00620884253591008,0.30220901225916,0.326556671576782
"telehealth","500%+ FPL",2024,0.296708480226691,0.0060527168777672,0.28470975201975,0.308565931197649
