"outcome","income_group","year","rate","stderr","lb","ub"
"noinsurance","<100% FPL",2019,0.117425262483642,0.00727718728385416,0.103600228489726,0.132158644737047
"noinsurance","<100% FPL",2020,0.11457409644327,0.00973215098377155,0.096394643329476,0.134713761333743
"noinsurance","<100% FPL",2021,0.104883376376536,0.00766786977817889,0.0903102655723817,0.120431256824679
"noinsurance","<100% FPL",2022,0.0976332463915079,0.00699033157140569,0.0845148200965244,0.111999246296413
"noinsurance","<100% FPL",2023,0.0752722564950506,0.00542319924236047,0.0650819197877813,0.0861058020169418
"noinsurance","<100% FPL",2024,0.0826523291940195,0.00603986450241382,0.0714199775232075,0.0952784274872814
"noinsurance","100–199% FPL",2019,0.124093728945217,0.00570238276786959,0.113142786693867,0.135626847497375
"noinsurance","100–199% FPL",2020,0.120143665419147,0.00788988885571149,0.105370496526354,0.136238505605021
"noinsurance","100–199% FPL",2021,0.101626277476897,0.0049596223996253,0.092163377297314,0.111782639484488
"noinsurance","100–199% FPL",2022,0.0960996699806995,0.00537951816721282,0.0860535729980828,0.1070754233858
"noinsurance","100–199% FPL",2023,0.0797951345784292,0.0045180177674317,0.0712335762732913,0.0889527529910549
"noinsurance","100–199% FPL",2024,0.0881865569883347,0.00488022640211005,0.0790996354753634,0.098114330789978
"noinsurance","200–299% FPL",2019,0.0964686304126992,0.00521137823491155,0.0867145002446294,0.107047200584186
"noinsurance","200–299% FPL",2020,0.0899417016780909,0.00603218301126499,0.0785308442161686,0.10206343372707
"noinsurance","200–299% FPL",2021,0.0845393841821381,0.00482372600751882,0.075473768632227,0.0944376351011604
"noinsurance","200–299% FPL",2022,0.0813462208408815,0.00473820260887074,0.0724662961908781,0.0911258824279077
"noinsurance","200–299% FPL",2023,0.063367506784958,0.0038854453115175,0.056060827655446,0.0713012307213953
"noinsurance","200–299% FPL",2024,0.0747172579381541,0.0045921861952465,0.0662920741397404,0.0841596736265624
"noinsurance","300–399% FPL",2019,0.0575970457489254,0.00450107394675712,0.0492307464114274,0.0667373066009719
"noinsurance","300–399% FPL",2020,0.0619992375171749,0.00570804823116006,0.0514475565047305,0.0739345709310462
"noinsurance","300–399% FPL",2021,0.0513071059273258,0.0043310906891395,0.0433109852512562,0.0602155501726117
"noinsurance","300–399% FPL",2022,0.0608099506054522,0.00461222830555388,0.0521800287793247,0.0700939536925893
"noinsurance","300–399% FPL",2023,0.0515662075548404,0.00427708742518273,0.0437353456624451,0.060520186625876
"noinsurance","300–399% FPL",2024,0.0514567474449828,0.00378383308778641,0.0443516750246395,0.059214879139832
"noinsurance","400-499% FPL",2019,0.0361576169004774,0.00353675970483057,0.0298171815442702,0.0436763141566651
"noinsurance","400-499% FPL",2020,0.0473895109477008,0.00535041940669367,0.0378470926429771,0.0586320105599134
"noinsurance","400-499% FPL",2021,0.0391018921769413,0.00386294395235616,0.0320151729993173,0.0470692289483143
"noinsurance","400-499% FPL",2022,0.035004954092622,0.00372808343591558,0.0282703732540148,0.0427432795167667
"noinsurance","400-499% FPL",2023,0.0340913822092198,0.0037433192633681,0.0274203704215588,0.0419029164008055
"noinsurance","400-499% FPL",2024,0.0322553372622968,0.00335296678533293,0.0261815495701684,0.039374638022787
"noinsurance","500%+ FPL",2019,0.0250119377095623,0.00205296169552062,0.0211394684647011,0.0292768471464714
"noinsurance","500%+ FPL",2020,0.0241541625085518,0.00237626933317239,0.0198391690811207,0.029193989852504
"noinsurance","500%+ FPL",2021,0.0217155886173068,0.00182342031290902,0.0183704958884326,0.0255083813365646
"noinsurance","500%+ FPL",2022,0.0227516135033079,0.0019391102907188,0.0192005625278908,0.0267259152832158
"noinsurance","500%+ FPL",2023,0.021242086737259,0.00164247266730877,0.0181929682331582,0.024616267392048
"noinsurance","500%+ FPL",2024,0.0210648284792287,0.00181287379439269,0.0177165658135554,0.0248762985513133
"badcarecost","<100% FPL",2019,0.160105111911723,0.00842701333151727,0.144193266534358,0.176898281389163
"badcarecost","<100% FPL",2020,0.126045650621329,0.0103560079495415,0.107035082601536,0.147471512167922
"badcarecost","<100% FPL",2021,0.117115828462719,0.00775577591928233,0.102545463073602,0.133117556138202
"badcarecost","<100% FPL",2022,0.109264563203756,0.00725693722960619,0.0958556194119023,0.124152070017461
"badcarecost","<100% FPL",2023,0.118827581317525,0.00723058064154259,0.105248707339313,0.13349172256407
"badcarecost","<100% FPL",2024,0.122016193602764,0.00801896340629057,0.107050277143454,0.138562924845926
"badcarecost","100–199% FPL",2019,0.158638505872087,0.00652369084490189,0.14624472079738,0.171637196860868
"badcarecost","100–199% FPL",2020,0.136055830778558,0.0071742828331404,0.12255384200626,0.150618151772103
"badcarecost","100–199% FPL",2021,0.10798892438094,0.00507308577934442,0.0982600601062413,0.118038298588354
"badcarecost","100–199% FPL",2022,0.120342249639843,0.00596243165351349,0.108922804881035,0.132535337268502
"badcarecost","100–199% FPL",2023,0.122471961588787,0.0057932671914698,0.111623742406792,0.134213231544105
"badcarecost","100–199% FPL",2024,0.12391496918284,0.00564990826806995,0.113188384381839,0.135003107998902
"badcarecost","200–299% FPL",2019,0.116927721860162,0.00572011078759261,0.106268527893613,0.12860489640304
"badcarecost","200–299% FPL",2020,0.0951592858911032,0.00643090656801733,0.0830992328936709,0.108228434947515
"badcarecost","200–299% FPL",2021,0.103200264137321,0.00518250235425839,0.0932778033889557,0.113552294073178
"badcarecost","200–299% FPL",2022,0.0964393613341074,0.00534823396287246,0.0863950803226067,0.107252280912057
"badcarecost","200–299% FPL",2023,0.0817856194657817,0.00476834530686548,0.072895428393001,0.0912454391386476
"badcarecost","200–299% FPL",2024,0.117187864021587,0.00571234609838885,0.106360936075614,0.1289132701875
"badcarecost","300–399% FPL",2019,0.0784990833671535,0.0049699714189199,0.0691989242675326,0.0886009898881873
"badcarecost","300–399% FPL",2020,0.0867071383654237,0.00854065692848093,0.0710768888661252,0.104484393021425
"badcarecost","300–399% FPL",2021,0.0692137422262567,0.00481557825166571,0.0602067937375656,0.079148627683854
"badcarecost","300–399% FPL",2022,0.0712683827872985,0.00481153349959377,0.0622354251708153,0.0809877496887008
"badcarecost","300–399% FPL",2023,0.0685302886705205,0.00505554272837061,0.0592209318532084,0.0789761112988129
"badcarecost","300–399% FPL",2024,0.0935031981390953,0.00553536455124971,0.0830105619101522,0.104937991220432
"badcarecost","400-499% FPL",2019,0.057571138206293,0.0053328045660579,0.0477728211373916,0.068723356344861
"badcarecost","400-499% FPL",2020,0.0501710332173509,0.00489073968116573,0.0413702879748086,0.06022968376808
"badcarecost","400-499% FPL",2021,0.0619218695162711,0.00482467995310964,0.0528755572006485,0.0719179628883373
"badcarecost","400-499% FPL",2022,0.0525483294595243,0.00487756496406312,0.0435861650847939,0.062674248203852
"badcarecost","400-499% FPL",2023,0.0579499730683508,0.00520397417541662,0.0485044706775471,0.0688285532652989
"badcarecost","400-499% FPL",2024,0.0805060240304871,0.00530920592787624,0.0706759888972343,0.0913709552878567
"badcarecost","500%+ FPL",2019,0.0326586073317504,0.00230533732982903,0.0283871629728901,0.0374069249960422
"badcarecost","500%+ FPL",2020,0.0337758285550713,0.00297789578196201,0.0284217279574274,0.0399253290063315
"badcarecost","500%+ FPL",2021,0.0398806975045991,0.00248454000189239,0.0351928561400963,0.0449553929546358
"badcarecost","500%+ FPL",2022,0.0349305513803256,0.00230559572297643,0.0305915605499136,0.039619033383739
"badcarecost","500%+ FPL",2023,0.0353748061117208,0.00219896871602405,0.0313111804217473,0.0399714928360127
"badcarecost","500%+ FPL",2024,0.0468432446477327,0.00275986381609477,0.0416854684952299,0.0524812917316845
"crn_barrier","<100% FPL",2019,0.209998212681761,0.0115261660234015,0.188291924975632,0.233298848545466
"crn_barrier","<100% FPL",2020,0.172842671568041,0.0154414476551735,0.144578186080241,0.205329014021916
"crn_barrier","<100% FPL",2021,0.156878370016666,0.0108363903825761,0.136404599031698,0.178518909520959
"crn_barrier","<100% FPL",2022,0.144188600295756,0.00966877429947043,0.12633459195918,0.164101127601138
"crn_barrier","<100% FPL",2023,0.155314802179449,0.00973374134789647,0.136976101707808,0.174896213529199
"crn_barrier","<100% FPL",2024,0.161253119239305,0.0102144984866562,0.142391057313062,0.181815098418794
"crn_barrier","100–199% FPL",2019,0.204091318783886,0.00836070733776283,0.187868769256515,0.220646480764239
"crn_barrier","100–199% FPL",2020,0.183128805257454,0.0105519822739154,0.162747579845651,0.204355009646145
"crn_barrier","100–199% FPL",2021,0.144233151765032,0.00728446025774554,0.13053862318737,0.159129065922814
